station_id,station_name,latitude,longitude,datetime_local,variable,value,unit,timestamp_utc_extraction
0PU28,TRANI,41.247501,16.415556,2026-05-21 05:00:00,ws_10m_hourly,2.7,m/s,2026-05-21T08:05:11.831331
0PU28,TRANI,41.247501,16.415556,2026-05-21 05:00:00,ws_2m_hourly,1.9,m/s,2026-05-21T08:05:11.831328
0PU30,NOICATTARO,41.021942,16.967777,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144007
0PU30,NOICATTARO,41.021942,16.967777,2026-05-21 05:00:00,rh_hourly,73.0,%,2026-05-21T08:05:03.965155
0PU30,NOICATTARO,41.021942,16.967777,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235431
0PU30,NOICATTARO,41.021942,16.967777,2026-05-21 05:00:00,tair_hourly,14.1,°C,2026-05-21T08:05:02.583097
0PU30,NOICATTARO,41.021942,16.967777,2026-05-21 05:00:00,ws_10m_hourly,3.1,m/s,2026-05-21T08:05:11.831459
0PU30,NOICATTARO,41.021942,16.967777,2026-05-21 05:00:00,ws_2m_hourly,1.6,m/s,2026-05-21T08:05:11.831454
0PU31,ALBEROBELLO,40.790558,17.233334,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144071
0PU31,ALBEROBELLO,40.790558,17.233334,2026-05-21 05:00:00,rh_hourly,75.0,%,2026-05-21T08:05:03.965166
0PU31,ALBEROBELLO,40.790558,17.233334,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235442
0PU31,ALBEROBELLO,40.790558,17.233334,2026-05-21 05:00:00,tair_hourly,12.9,°C,2026-05-21T08:05:02.583111
0PU31,ALBEROBELLO,40.790558,17.233334,2026-05-21 05:00:00,ws_10m_hourly,3.6,m/s,2026-05-21T08:05:11.831588
0PU31,ALBEROBELLO,40.790558,17.233334,2026-05-21 05:00:00,ws_2m_hourly,1.6,m/s,2026-05-21T08:05:11.831585
0PU33,MOCCARI,40.558334,17.851667,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144131
0PU33,MOCCARI,40.558334,17.851667,2026-05-21 05:00:00,rh_hourly,72.0,%,2026-05-21T08:05:03.965182
0PU33,MOCCARI,40.558334,17.851667,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235457
0PU33,MOCCARI,40.558334,17.851667,2026-05-21 05:00:00,tair_hourly,16.9,°C,2026-05-21T08:05:02.583124
0PU33,MOCCARI,40.558334,17.851667,2026-05-21 05:00:00,ws_10m_hourly,5.0,m/s,2026-05-21T08:05:11.831717
0PU33,MOCCARI,40.558334,17.851667,2026-05-21 05:00:00,ws_2m_hourly,2.6,m/s,2026-05-21T08:05:11.831714
0PU34,LATIANO,40.548332,17.688057,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144193
0PU34,LATIANO,40.548332,17.688057,2026-05-21 05:00:00,rh_hourly,69.0,%,2026-05-21T08:05:03.965193
0PU34,LATIANO,40.548332,17.688057,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235469
0PU34,LATIANO,40.548332,17.688057,2026-05-21 05:00:00,tair_hourly,15.8,°C,2026-05-21T08:05:02.583141
0PU34,LATIANO,40.548332,17.688057,2026-05-21 05:00:00,ws_10m_hourly,3.8,m/s,2026-05-21T08:05:11.831844
0PU34,LATIANO,40.548332,17.688057,2026-05-21 05:00:00,ws_2m_hourly,1.9,m/s,2026-05-21T08:05:11.831841
